ID,SNM,STYP,FND,RGN,USC,SCR_EST_2014,SCR_EST_2015,SCR_EST_2016,SCR_EST_2017,SCR_EST_2018,SCR_EST_2019,SCR_EST_2020,SCR_EST_2021,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024
73,국립금오공과대학교,대학,국립,경북,B그룹,49.65330492728952,50.141126156178885,49.29452275429577,49.96219420821155,65.82546396663176,66.42153167813618,67.24975312934697,67.5110349708853,67.56811752627206,67.61404549587516,67.83169334660019
74,국립목포대학교,대학,국립,전남,B그룹,51.155727410146774,50.632709737576654,50.50865785414284,51.93689401483106,66.8822043335555,67.22737522066647,67.30468335819667,67.29207582486315,67.35816439574518,67.46566581556601,67.51432027652828
75,국립목포해양대학교,대학,국립,전남,C그룹,52.87032324380913,52.661598865360126,52.21311721427439,52.34215386797161,67.8791193308413,67.7280824244177,68.1673371370151,68.04371781918971,68.13565208681096,68.2083175695468,67.45816243339225
76,국립부경대학교,대학,국립,부산,A그룹,45.98574598422331,46.0193943035245,46.17937564576402,46.52126927683703,65.31997975356053,68.1920885370189,68.24991752889001,69.11925252262891,68.56074291730616,68.07742386863816,69.82261040799251
77,국립순천대학교,대학,국립,전남,B그룹,50.82701613917224,51.49518205195125,51.265490965296216,51.78983145371366,66.7107764760909,67.28791013127096,67.0910019902096,67.32530687251823,67.75082139942812,67.91847502156439,68.26496855127704
78,국립암센터국제암대학원대학교,대학원대학,국립,경기,-,52.81886897456559,53.74486270038267,52.972096707274424,52.97700639634878,66.99652034789321,67.50362786324838,67.48667960768512,67.42118886953966,67.41940070538216,67.44895391217989,68.71299511715566
79,국립창원대학교,대학,국립,경남,B그룹,49.85806856989949,49.16943950044954,49.3634253553205,49.11772959843008,65.3397359379672,66.06674290850546,66.89329514958956,67.45614425102498,67.68712491959256,67.79819288515785,67.95821253695921
80,국립한국교통대학교,대학,국립,충북,B그룹,52.553971014296316,51.900243996360494,51.67311886619811,51.55212565471288,66.0642025312643,66.90728369922783,67.48073811453683,67.59356090106559,67.62997119939236,67.68360783611723,68.74068604676785
81,국립한국해양대학교,대학,국립,부산,B그룹,50.273035280148314,50.529131299590894,50.67823488826161,50.984794161953914,66.68254897165151,66.8262734655654,67.33800842032588,67.4849293379931,67.85606618131246,67.9709444844258,68.04774642769065
82,국립한밭대학교,대학,국립,대전,B그룹,51.34648885726705,50.62877276343132,51.4522435686064,51.332123295950524,66.50638411339595,66.86930789318585,66.96038060675566,67.23501548937712,67.17175498043846,67.3525445611276,67.81271277228551
83,국민대학교,대학,사립,서울,A그룹,47.424896242285904,47.655502267217955,48.216895182390104,48.79936811405075,67.48785890207104,68.2926123581864,68.19131006346808,69.10860126770848,68.20631523118558,68.2766811704279,68.6863649077588
84,국방대학교,기타,기타,충남,-,52.74154804525284,52.73992320816011,52.73450654149343,52.64551917102544,67.48280400841955,67.9491404529118,67.97796839233105,67.92673268138702,68.22079255584393,67.93966966622393,67.93846807892236
85,국제뇌교육종합대학원대학교,대학원대학,사립,충남,-,52.78571777411868,52.92601465584505,53.06119099923473,52.97276521719391,67.80832007989606,68.26767918895607,67.81168997192594,67.81938338101685,67.83481884980206,67.85801814804768,68.07118816383769
86,국제대학교,전문대학,사립,경기,B그룹,52.600220691314114,52.61041821912422,52.57126170277502,52.46946739274659,66.92790944198867,67.33887832256045,67.37604653468166,67.37305516737943,67.3925846118239,67.42037551008708,67.84793746739112
87,국제문화대학원대학교,대학원대학,사립,충남,-,53.96285068927617,52.81724413747286,52.81724413747284,52.727060613158706,67.69327133796001,68.20353722251059,68.21867311139951,68.21867311139953,68.22079255584393,68.22079255584394,68.2264592225106
88,국제법률경영대학원대학교,대학원대학,사립,경기,-,52.63194671483236,52.69025712245943,52.69471183856058,52.72505509691324,68.03154363847548,68.44772147689224,68.47937081737855,68.72114019354574,68.30604237562305,68.30604237562308,68.2264592225106
89,국제사이버대학교,대학,사립,경기,C그룹,52.82024097456559,52.81724413747286,52.81724413747284,52.70508300821385,67.63626587352252,68.12316366750355,68.14793955639244,68.14793955639246,68.15005900083688,68.15005900083688,67.89185673258011
90,국제언어대학원대학교,대학원대학,사립,서울,-,52.67085428248478,52.65321149817107,52.78576603710207,52.64976188980516,65.96356923565583,66.26006686634052,66.98475181637573,68.2858636023101,68.2841839789355,68.27174909410552,68.18944741661707
91,국제예술대학교,기타,기타,서울,-,52.81886897456559,52.81724413747286,52.81724413747284,52.727060613158706,67.69327133796001,68.20353722251059,68.21867311139951,68.21867311139953,68.22079255584393,68.22079255584394,68.2264592225106
92,군산간호대학교,전문대학,사립,전북,C그룹,51.69670253910072,51.53055338168166,51.3792590512483,51.72347549972026,65.53927835218826,66.809610798228,66.45320837772802,66.60960315390517,65.47943129738827,65.33695620150455,65.6412449849551
93,군장대학교,전문대학,사립,전북,C그룹,52.77525514700426,52.68153470745965,52.426241758118344,52.64783005904614,67.52264674454234,68.1558929711107,68.14964006851332,68.19104795809108,68.32424565781362,68.35232832134892,68.36220602620004
94,극동대학교,대학,사립,충북,C그룹,52.80815288261155,52.74325449678022,52.74865800922422,53.855910531646764,67.78008345137025,68.1437633934711,67.9841532093244,67.62010496277249,68.17842647728749,67.71682946939528,67.85617206696169
95,글로벌사이버대학교,대학,사립,충남,C그룹,52.81886897456559,52.81724413747286,52.818616137472844,52.727060613158706,67.69327133796001,68.20032318742288,68.21867311139951,68.27439987338023,68.28146559233444,67.95052816187305,68.2264592225106
96,금강대학교,대학,사립,충남,C그룹,52.40332387111781,52.42605816209684,52.42465596209685,52.19819567874509,66.44802768841927,66.86790857776788,66.31347103025016,67.56352615708627,67.63747507494857,66.73835524641663,67.20113203877658
97,기독간호대학교,전문대학,사립,광주,C그룹,53.24553559782177,53.00431988446088,53.01859188689151,53.05116989313757,67.96216764297776,68.37970528218924,68.15749472830161,68.05858706696243,68.18802499885074,68.11176451267976,68.19175738556922
98,김천대학교,대학,사립,경북,C그룹,52.426575773770516,52.592692241604794,51.49417521418984,52.37497004325791,67.12912892824644,67.54185539091254,68.07555646349991,67.72152182017192,67.65931251214202,67.99583456973667,67.59386704291832
99,김포대학교,전문대학,사립,경기,C그룹,52.20057727517299,52.66668156785129,52.40664658946211,52.63772527014294,66.92887034449292,67.44105824339435,67.52474938009604,67.31067629865112,68.13078302791067,68.37720282051801,68.47793869879489
100,김해대학교,전문대학,사립,경남,C그룹,52.68125888102392,52.76991088546324,52.60181952039192,52.29417762208963,67.03034705705922,67.70663043615524,67.7503977323817,67.84926210118171,67.81845180331138,67.23274618357772,67.5405860467666
101,나사렛대학교,대학,사립,충남,B그룹,51.777035592278466,51.463079259958995,51.3033944089464,51.517526836736025,66.47381523125554,66.89893707037753,66.93956392978187,67.35153278309369,67.3140469859821,67.33472705041845,67.32846955527151
102,나주대학교,전문대학,사립,전남,C그룹,52.79697292478203,52.79534808768931,52.81724413747284,52.666411129031715,67.2140948411782,67.38377745303366,67.73725746258052,67.36791406007184,67.24381528114654,67.30210260687345,67.77796288490775
103,남부대학교,대학,사립,광주,C그룹,52.71409914368351,52.72612620024859,52.83357687100732,52.60560990995008,66.86495097357593,67.30769112020427,66.96532014948069,67.26909701670876,67.26732717207462,67.24918967567969,67.50287452645713
104,남서울대학교,대학,사립,충남,B그룹,51.10300488009275,51.15894163011579,50.475088478793175,51.89944889538431,67.36079107780911,68.22941311437388,67.38174338881859,67.82599162553764,68.35092298035362,67.88765012480224,67.46064522278715
105,농협대학교,전문대학,사립,경기,C그룹,52.67175707732082,52.82313925231447,52.84936080262689,52.9182890318503,67.68127998837953,68.48092137517888,67.81814649759934,67.92931097896805,67.95178700271774,67.96060517277694,67.98999217851396
106,능인대학원대학교,대학원대학,사립,경기,-,52.81886897456559,52.81724413747286,52.83511853180591,52.616249049412446,67.59697733185021,67.2441742237997,68.09367639937369,68.14994646103412,67.88431903584593,67.76076204117047,68.05030554349172
107,단국대학교,대학,사립,경기,A그룹,45.73084579557446,46.141145058545284,46.64400597998115,48.73784321930424,68.32256628881284,69.54572043190882,69.32343597595795,70.35749904053057,70.15594639403479,70.1331295908352,70.09852395101372
108,대경대학교,전문대학,사립,경북,B그룹,52.67324841007573,52.671623572983,52.788109693028396,52.73934549580873,67.32581368416845,67.55374012073536,67.78921240854034,67.82155730859645,66.67425904073626,66.93673240888891,65.53175289729379
109,대구가톨릭대학교,대학,사립,경북,A그룹,49.49620975536052,49.803253441313885,49.834893053758556,50.118880507307864,67.28684079572884,67.45772736986125,66.40835908790659,67.13546936630804,67.22935313023646,67.32744516129661,67.61254828381485
110,대구경북과학기술원,대학,국립,대구,C그룹,53.78421008883458,53.25104343783148,53.05461924042636,52.07537743996948,66.18755736432328,66.57013135496335,67.15709995791019,68.78881863504334,69.39733088089343,69.69479331317379,69.77090791913865
111,대구공업대학교,전문대학,사립,대구,C그룹,52.76440055163699,52.71957500932669,53.007399772995804,52.98869168939575,67.47865249180093,68.69964690151161,68.68514953529777,68.14918693867749,68.37326276958895,68.27772601429467,68.30474789835995
112,대구과학대학교,전문대학,사립,대구,A그룹,52.5454617766434,52.535801538201746,52.43568551562098,51.625155421736146,66.45514690287771,66.88866209362281,66.68608916633221,67.20233088046405,66.5076662972639,67.11177645631396,67.11176324563574
